
Host: c1-9.compute.lan

Timers On : Tue Feb  2 11:28:41 2021
Timers Off: Tue Feb  2 11:28:41 2021

Wall Time:        0.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: c2-1.compute.lan

Timers On : Tue Feb  2 11:58:53 2021
Timers Off: Tue Feb  2 12:00:37 2021

Wall Time:      103.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.750u      0.017s      0.455w      8 calls
JK: (A|mn)                          :      3.567u      0.000s      2.139w      8 calls
JK: (A|Q)^-1/2                      :      0.800u      0.000s      0.491w      8 calls
JK: (Q|mn)                          :      0.367u      0.000s      0.200w      8 calls
JK: (A|mn)^L                        :      1.967u      0.000s      1.168w      8 calls
JK: (A|Q)^-1                        :      0.800u      0.000s      0.487w      8 calls
JK: (Q|mn)^L                        :      0.267u      0.000s      0.185w      8 calls
JK: (A|mn)^R                        :      2.533u      0.000s      1.515w      8 calls
HF: Form core H                     :      0.017u      0.050s      0.038w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      8 calls
HF: Guess                           :      1.267u      0.033s      0.803w      8 calls
SAD Guess                           :      1.167u      0.033s      0.737w      5 calls
HF: Form G                          :     91.833u      0.833s     55.647w     76 calls
UV: Form V                          :     78.283u      0.783s     47.490w     76 calls
Properties                          :     35.350u      0.233s     20.373w  82704 calls
Functional                          :     13.300u      0.117s      8.541w  82704 calls
V_xc                                :     37.383u      0.433s     23.393w  74828 calls
JK: D                               :      0.000u      0.000s      0.002w     76 calls
JK: USO2AO                          :      0.100u      0.000s      0.030w     76 calls
JK: JK                              :     13.083u      0.050s      7.934w     76 calls
JK: J                               :      0.100u      0.017s      0.168w     76 calls
JK: J1                              :      0.100u      0.017s      0.103w    152 calls
JK: J2                              :      0.000u      0.000s      0.060w    152 calls
JK: K                               :      4.583u      0.000s      2.681w     76 calls
JK: K1                              :      3.883u      0.000s      2.238w    152 calls
JK: K2                              :      0.700u      0.000s      0.442w    152 calls
JK: wK                              :      8.267u      0.000s      5.011w    152 calls
JK: wK1                             :      7.617u      0.000s      4.556w    608 calls
JK: wK2                             :      0.633u      0.000s      0.452w    304 calls
JK: AO2USO                          :      0.083u      0.000s      0.051w     76 calls
HF: Form F                          :      0.000u      0.000s      0.002w     76 calls
HF: Form D                          :      0.000u      0.000s      0.002w     76 calls
HF: DIIS                            :      0.100u      0.017s      0.074w     71 calls
DIISManager::add_entry              :      0.033u      0.017s      0.020w     68 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.014w     68 calls
bMatrix setup                       :      0.000u      0.000s      0.005w     68 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.004w     68 calls
New vector                          :      0.000u      0.000s      0.004w     68 calls
HF: Form C                          :      0.117u      0.000s      0.036w     71 calls
Grad: V T Perturb                   :      0.833u      0.000s      0.502w      8 calls
