
Host: c2-18.compute.lan

Timers On : Tue Feb  2 14:39:45 2021
Timers Off: Tue Feb  2 16:14:42 2021

Wall Time:     5697.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.750u      0.083s      1.388w      8 calls
JK: (A|mn)                          :     16.583u      0.033s     12.132w      8 calls
JK: (A|Q)^-1/2                      :      2.183u      0.000s      1.462w      8 calls
JK: (Q|mn)                          :      8.183u      0.017s      6.020w      8 calls
JK: (A|mn)^L                        :      8.767u      0.017s      6.392w      8 calls
JK: (A|Q)^-1                        :      2.250u      0.000s      1.352w      8 calls
JK: (Q|mn)^L                        :      8.067u      0.000s      5.889w      8 calls
JK: (A|mn)^R                        :     10.917u      0.000s      7.669w      8 calls
HF: Form core H                     :      0.017u      0.050s      0.060w      8 calls
HF: Form S/X                        :      0.017u      0.017s      0.031w      8 calls
HF: Guess                           :      1.833u      0.067s      1.274w      8 calls
SAD Guess                           :      1.733u      0.050s      1.194w      7 calls
HF: Form G                          :   8427.617u     34.283s   5478.796w    283 calls
UV: Form V                          :   7981.433u     33.117s   5189.540w    283 calls
Properties                          :   3347.200u     23.850s   2183.397w 394262 calls
Functional                          :     96.450u      1.200s     62.430w 394262 calls
V_xc                                :   3553.717u      5.750s   2308.003w 394262 calls
V: VV10                             :    971.800u      2.167s    628.797w    283 calls
Setup                               :    101.083u      0.667s     65.215w    283 calls
Kernel                              :    678.200u      0.850s    438.687w  63929 calls
VV10 Fock                           :     88.267u      0.217s     57.109w  63929 calls
JK: D                               :      0.100u      0.000s      0.054w    283 calls
JK: USO2AO                          :      1.483u      0.067s      1.122w    283 calls
JK: JK                              :    437.967u      1.067s    283.676w    283 calls
JK: J                               :      4.400u      0.067s      3.101w    283 calls
JK: J1                              :      2.300u      0.067s      1.561w    566 calls
JK: J2                              :      1.933u      0.000s      1.469w    566 calls
JK: K                               :    163.767u      0.233s    105.933w    283 calls
JK: K1                              :    100.900u      0.167s     65.437w    566 calls
JK: K2                              :     62.850u      0.067s     40.481w    566 calls
JK: wK                              :    268.133u      0.300s    173.277w    566 calls
JK: wK1                             :    203.933u      0.267s    131.806w   2264 calls
JK: wK2                             :     64.150u      0.033s     41.444w   1132 calls
JK: AO2USO                          :      4.917u      0.000s      3.203w    283 calls
HF: Form F                          :      0.033u      0.000s      0.023w    283 calls
HF: Form D                          :      0.100u      0.000s      0.062w    283 calls
HF: DIIS                            :      2.300u      0.433s      1.742w    276 calls
DIISManager::add_entry              :      0.083u      0.050s      0.175w    275 calls
DIISManager::extrapolate            :      0.283u      0.333s      0.426w    275 calls
bMatrix setup                       :      0.083u      0.133s      0.206w    275 calls
bMatrix pseudoinverse               :      0.000u      0.017s      0.050w    275 calls
New vector                          :      0.183u      0.183s      0.167w    275 calls
HF: Form C                          :      3.383u      0.083s      2.300w    276 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.750u      0.083s      1.388w      8 calls
JK: (A|mn)                          :     16.583u      0.033s     12.132w      8 calls
JK: (A|Q)^-1/2                      :      2.183u      0.000s      1.462w      8 calls
JK: (Q|mn)                          :      8.183u      0.017s      6.020w      8 calls
JK: (A|mn)^L                        :      8.767u      0.017s      6.392w      8 calls
JK: (A|Q)^-1                        :      2.250u      0.000s      1.352w      8 calls
JK: (Q|mn)^L                        :      8.067u      0.000s      5.889w      8 calls
JK: (A|mn)^R                        :     10.917u      0.000s      7.669w      8 calls
HF: Form core H                     :      0.017u      0.050s      0.060w      8 calls
