
Host: c2-18.compute.lan

Timers On : Tue Feb  2 14:39:45 2021
Timers Off: Tue Feb  2 14:59:48 2021

Wall Time:     1202.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.400u      0.000s      0.253w      2 calls
JK: (A|mn)                          :      4.117u      0.000s      3.691w      2 calls
JK: (A|Q)^-1/2                      :      0.550u      0.017s      0.475w      2 calls
JK: (Q|mn)                          :      2.033u      0.000s      1.500w      2 calls
JK: (A|mn)^L                        :      2.150u      0.000s      1.916w      2 calls
JK: (A|Q)^-1                        :      0.567u      0.017s      0.428w      2 calls
JK: (Q|mn)^L                        :      2.017u      0.000s      1.821w      2 calls
JK: (A|mn)^R                        :      2.717u      0.017s      2.520w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.024w      2 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      2 calls
HF: Guess                           :      0.267u      0.017s      0.239w      2 calls
SAD Guess                           :      0.233u      0.017s      0.230w      1 calls
HF: Form G                          :   1162.733u    104.183s   1155.110w    128 calls
UV: Form V                          :    961.350u    103.383s    982.197w    128 calls
Properties                          :    411.683u     42.767s    418.073w 180376 calls
Functional                          :     52.867u     15.350s     65.455w 180376 calls
V_xc                                :    498.600u     30.700s    480.681w 178984 calls
JK: D                               :      0.033u      0.000s      0.023w    128 calls
JK: USO2AO                          :      0.633u      0.033s      0.648w    128 calls
JK: JK                              :    197.800u      0.767s    169.683w    128 calls
JK: J                               :      2.117u      0.033s      1.793w    128 calls
JK: J1                              :      0.933u      0.033s      0.918w    256 calls
JK: J2                              :      1.050u      0.000s      0.842w    256 calls
JK: K                               :     74.417u      0.250s     62.931w    128 calls
JK: K1                              :     45.783u      0.183s     38.583w    256 calls
JK: K2                              :     28.633u      0.067s     24.327w    256 calls
JK: wK                              :    120.667u      0.450s    104.309w    256 calls
JK: wK1                             :     91.600u      0.367s     79.418w   1024 calls
JK: wK2                             :     29.033u      0.083s     24.878w    512 calls
JK: AO2USO                          :      2.150u      0.000s      1.855w    128 calls
HF: Form F                          :      0.000u      0.000s      0.009w    128 calls
HF: Form D                          :      0.017u      0.000s      0.053w    128 calls
HF: DIIS                            :      0.983u      0.083s      1.017w    127 calls
DIISManager::add_entry              :      0.050u      0.000s      0.066w    126 calls
DIISManager::extrapolate            :      0.100u      0.050s      0.337w    126 calls
bMatrix setup                       :      0.017u      0.033s      0.125w    126 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.011w    126 calls
New vector                          :      0.067u      0.017s      0.200w    126 calls
HF: Form C                          :      1.517u      0.000s      1.340w    127 calls
