
Host: b1-8.compute.lan

Timers On : Thu Feb  4 16:58:07 2021
Timers Off: Thu Feb  4 18:33:04 2021

Wall Time:     5696.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     11.833u      0.033s      7.112w     50 calls
JK: (A|mn)                          :    166.533u      0.017s     99.996w     50 calls
JK: (A|Q)^-1/2                      :     20.067u      0.000s     11.998w     50 calls
JK: (Q|mn)                          :    119.967u      0.017s     72.000w     50 calls
JK: (A|mn)^L                        :     87.100u      0.000s     52.304w     50 calls
JK: (A|Q)^-1                        :     20.033u      0.000s     12.012w     50 calls
JK: (Q|mn)^L                        :    118.900u      0.000s     71.338w     50 calls
JK: (A|mn)^R                        :    107.517u      0.000s     64.484w     50 calls
HF: Form core H                     :      0.033u      0.100s      0.233w     50 calls
HF: Form S/X                        :      1.067u      0.017s      0.710w     50 calls
HF: Guess                           :      0.300u      0.000s      0.152w     50 calls
SAD Guess                           :      0.183u      0.000s      0.111w      1 calls
HF: Form G                          :   6207.833u      4.017s   3727.167w    426 calls
UV: Form V                          :   4794.250u      3.800s   2878.804w    426 calls
Properties                          :   2527.483u      1.917s   1519.437w 851177 calls
Functional                          :    147.433u      0.050s     87.784w 851177 calls
V_xc                                :   2488.333u      2.183s   1493.261w 762208 calls
JK: D                               :      0.400u      0.000s      0.230w    426 calls
JK: USO2AO                          :      0.083u      0.000s      0.060w    426 calls
JK: JK                              :   1412.867u      0.217s    847.897w    426 calls
JK: J                               :     10.900u      0.000s      6.528w    426 calls
JK: J1                              :      5.183u      0.000s      3.230w    852 calls
JK: J2                              :      5.550u      0.000s      3.171w    852 calls
JK: K                               :    541.300u      0.033s    324.857w    426 calls
JK: K1                              :    322.150u      0.033s    193.336w    852 calls
JK: K2                              :    219.133u      0.000s    131.503w    852 calls
JK: wK                              :    857.483u      0.100s    514.597w    852 calls
JK: wK1                             :    636.783u      0.050s    382.088w   3408 calls
JK: wK2                             :    220.600u      0.050s    132.476w   1704 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    426 calls
HF: Form F                          :      0.117u      0.000s      0.040w    426 calls
HF: Form D                          :      0.333u      0.000s      0.244w    426 calls
HF: DIIS                            :     11.200u      1.000s      7.248w    425 calls
DIISManager::add_entry              :      0.283u      0.233s      0.328w    376 calls
DIISManager::extrapolate            :      0.383u      0.650s      0.647w    376 calls
bMatrix setup                       :      0.133u      0.317s      0.301w    376 calls
bMatrix pseudoinverse               :      0.017u      0.033s      0.022w    376 calls
New vector                          :      0.233u      0.300s      0.322w    376 calls
HF: Form C                          :     20.033u      0.117s     12.032w    425 calls
Grad: V T Perturb                   :     20.583u      0.017s     12.344w     50 calls
Grad: S                             :      0.567u      0.000s      0.380w     50 calls
Grad: JK                            :   1480.917u      7.783s    893.300w     50 calls
JKGrad: Amn                         :    134.317u      1.567s     81.494w     50 calls
JKGrad: Awmn                        :    153.017u      1.450s     92.725w     50 calls
JKGrad: AB                          :     45.133u      0.933s     27.633w     50 calls
JKGrad: UV                          :     24.117u      0.583s     14.821w     50 calls
JKGrad: ABx                         :      4.950u      0.083s      2.998w     50 calls
JKGrad: Amnx                        :   1099.000u      2.717s    661.030w     50 calls
Grad: XC                            :    946.150u      0.650s    568.047w     50 calls
V_xc gradient                       :    559.333u      0.283s    335.812w  88969 calls

--------------------------------------------------------------------------------------
V: Grid                             :     11.833u      0.033s      7.112w     50 calls
JK: (A|mn)                          :    166.533u      0.017s     99.996w     50 calls
JK: (A|Q)^-1/2                      :     20.067u      0.000s     11.998w     50 calls
JK: (Q|mn)                          :    119.967u      0.017s     72.000w     50 calls
JK: (A|mn)^L                        :     87.100u      0.000s     52.304w     50 calls
JK: (A|Q)^-1                        :     20.033u      0.000s     12.012w     50 calls
JK: (Q|mn)^L                        :    118.900u      0.000s     71.338w     50 calls
JK: (A|mn)^R                        :    107.517u      0.000s     64.484w     50 calls
HF: Form core H                     :      0.033u      0.100s      0.233w     50 calls
HF: Form S/X                        :      1.067u      0.017s      0.710w     50 calls
HF: Guess                           :      0.300u      0.000s      0.152w     50 calls
| SAD Guess                         :      0.183u      0.000s      0.111w      1 calls
HF: Form G                          :   6207.833u      4.017s   3727.167w    426 calls
| UV: Form V                        :   4794.250u      3.800s   2878.804w    426 calls
| | Properties                      :   2168.417u      1.583s   1303.985w 762208 calls
| | Functional                      :    131.067u      0.033s     78.043w 762208 calls
| | V_xc                            :   2488.333u      2.183s   1493.261w 762208 calls
| JK: D                             :      0.400u      0.000s      0.230w    426 calls
| JK: USO2AO                        :      0.083u      0.000s      0.060w    426 calls
| JK: JK                            :   1412.867u      0.217s    847.897w    426 calls
| | JK: J                           :     10.900u      0.000s      6.528w    426 calls
| | | JK: J1                        :      5.183u      0.000s      3.230w    852 calls
| | | JK: J2                        :      5.550u      0.000s      3.171w    852 calls
| | JK: K                           :    541.300u      0.033s    324.857w    426 calls
| | | JK: K1                        :    322.150u      0.033s    193.336w    852 calls
| | | JK: K2                        :    219.133u      0.000s    131.503w    852 calls
| | JK: wK                          :    857.483u      0.100s    514.597w    852 calls
| | | JK: wK1                       :    636.783u      0.050s    382.088w   3408 calls
| | | JK: wK2                       :    220.600u      0.050s    132.476w   1704 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    426 calls
HF: Form F                          :      0.117u      0.000s      0.040w    426 calls
HF: Form D                          :      0.333u      0.000s      0.244w    426 calls
HF: DIIS                            :     11.200u      1.000s      7.248w    425 calls
| DIISManager::add_entry            :      0.283u      0.233s      0.328w    376 calls
| DIISManager::extrapolate          :      0.383u      0.650s      0.647w    376 calls
| | bMatrix setup                   :      0.133u      0.317s      0.301w    376 calls
| | bMatrix pseudoinverse           :      0.017u      0.033s      0.022w    376 calls
| | New vector                      :      0.233u      0.300s      0.322w    376 calls
HF: Form C                          :     20.033u      0.117s     12.032w    425 calls
Grad: V T Perturb                   :     20.583u      0.017s     12.344w     50 calls
Grad: S                             :      0.567u      0.000s      0.380w     50 calls
Grad: JK                            :   1480.917u      7.783s    893.300w     50 calls
| JKGrad: Amn                       :    134.317u      1.567s     81.494w     50 calls
| JKGrad: Awmn                      :    153.017u      1.450s     92.725w     50 calls
| JKGrad: AB                        :     45.133u      0.933s     27.633w     50 calls
| JKGrad: UV                        :     24.117u      0.583s     14.821w     50 calls
| JKGrad: ABx                       :      4.950u      0.083s      2.998w     50 calls
| JKGrad: Amnx                      :   1099.000u      2.717s    661.030w     50 calls
Grad: XC                            :    946.150u      0.650s    568.047w     50 calls
| Properties                        :    359.067u      0.333s    215.451w  88969 calls
