
Host: c4-6.compute.lan

Timers On : Fri Feb  5 11:37:25 2021
Timers Off: Fri Feb  5 14:40:02 2021

Wall Time:    10957.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     22.367u      0.583s     13.752w     79 calls
JK: (A|mn)                          :    282.517u      0.267s    170.109w     79 calls
JK: (A|Q)^-1/2                      :     14.900u      0.117s      8.983w     79 calls
JK: (Q|mn)                          :     32.367u      0.017s     19.421w     79 calls
JK: (A|mn)^L                        :    147.650u      0.117s     88.889w     79 calls
JK: (A|Q)^-1                        :     14.550u      0.033s      8.733w     79 calls
JK: (Q|mn)^L                        :     29.017u      0.033s     17.515w     79 calls
JK: (A|mn)^R                        :    186.683u      0.033s    112.288w     79 calls
HF: Form core H                     :      0.167u      0.267s      0.723w     79 calls
HF: Form S/X                        :      1.100u      0.017s      0.596w     79 calls
HF: Guess                           :      3.633u      0.050s      2.227w     79 calls
SAD Guess                           :      3.200u      0.033s      1.964w     13 calls
HF: Form G                          :  16838.967u     87.750s  10180.140w   1111 calls
UV: Form V                          :  14785.667u     84.300s   8943.010w   1111 calls
Properties                          :   4107.367u     56.833s   2505.743w 2015612 calls
Functional                          :    419.000u      2.317s    253.363w 2015612 calls
V_xc                                :   5925.000u     16.733s   3575.052w 2015612 calls
V: VV10                             :   4298.983u      8.083s   2590.244w   1111 calls
Setup                               :    346.717u      3.917s    210.653w   1111 calls
Kernel                              :   3330.550u      2.167s   2003.288w 326212 calls
VV10 Fock                           :    284.350u      0.517s    172.043w 326212 calls
JK: D                               :      0.350u      0.033s      0.287w   1111 calls
JK: USO2AO                          :      0.517u      0.117s      0.369w   1111 calls
JK: JK                              :   2050.450u      3.233s   1235.227w   1111 calls
JK: J                               :     54.333u      0.183s     32.872w   1111 calls
JK: J1                              :     27.667u      0.150s     16.599w   2222 calls
JK: J2                              :     26.133u      0.033s     15.949w   2222 calls
JK: K                               :    706.133u      0.267s    425.033w   1111 calls
JK: K1                              :    592.517u      0.250s    356.465w   2222 calls
JK: K2                              :    113.433u      0.017s     68.475w   2222 calls
JK: wK                              :   1272.733u      0.783s    766.014w   2222 calls
JK: wK1                             :   1154.900u      0.683s    695.231w   8888 calls
JK: wK2                             :    117.517u      0.083s     70.607w   4444 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w   1111 calls
HF: Form F                          :      0.700u      0.017s      0.370w   1111 calls
HF: Form D                          :      0.650u      0.000s      0.341w   1111 calls
HF: DIIS                            :      9.383u      4.433s      8.397w   1098 calls
DIISManager::add_entry              :      0.517u      1.300s      1.083w   1032 calls
DIISManager::extrapolate            :      2.317u      2.933s      3.226w   1032 calls
bMatrix setup                       :      0.783u      1.700s      1.601w   1032 calls
bMatrix pseudoinverse               :      0.183u      0.017s      0.070w   1032 calls
New vector                          :      1.333u      1.217s      1.544w   1032 calls
