
Host: b1-8.compute.lan

Timers On : Thu Feb  4 16:58:07 2021
Timers Off: Thu Feb  4 19:23:22 2021

Wall Time:     8715.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     11.750u      0.017s      7.068w     50 calls
JK: (A|mn)                          :    165.533u      0.000s     99.310w     50 calls
JK: (A|Q)^-1/2                      :     19.400u      0.000s     11.588w     50 calls
JK: (Q|mn)                          :    113.000u      0.017s     67.761w     50 calls
JK: (A|mn)^L                        :     80.750u      0.000s     48.400w     50 calls
JK: (A|Q)^-1                        :     19.317u      0.000s     11.607w     50 calls
JK: (Q|mn)^L                        :    112.183u      0.000s     67.287w     50 calls
JK: (A|mn)^R                        :     99.267u      0.000s     59.547w     50 calls
HF: Form core H                     :      0.033u      0.067s      0.226w     50 calls
HF: Form S/X                        :      1.117u      0.000s      0.704w     50 calls
HF: Guess                           :      0.233u      0.017s      0.151w     50 calls
SAD Guess                           :      0.183u      0.017s      0.111w      1 calls
HF: Form G                          :  11428.033u      8.517s   6861.722w    907 calls
UV: Form V                          :   8444.983u      8.300s   5072.000w    907 calls
Properties                          :   4078.633u      3.550s   2447.967w 1756375 calls
Functional                          :    292.617u      0.650s    175.956w 1756375 calls
V_xc                                :   4368.733u      4.383s   2627.266w 1664345 calls
JK: D                               :      1.000u      0.000s      0.480w    907 calls
JK: USO2AO                          :      0.367u      0.000s      0.121w    907 calls
JK: JK                              :   2980.967u      0.217s   1788.756w    907 calls
JK: J                               :     22.983u      0.033s     13.714w    907 calls
JK: J1                              :     11.583u      0.000s      6.820w   1814 calls
JK: J2                              :     10.933u      0.033s      6.630w   1814 calls
JK: K                               :   1144.817u      0.033s    686.859w    907 calls
JK: K1                              :    665.483u      0.033s    399.414w   1814 calls
JK: K2                              :    479.250u      0.000s    287.414w   1814 calls
JK: wK                              :   1806.717u      0.033s   1084.070w   1814 calls
JK: wK1                             :   1323.800u      0.033s    794.567w   7256 calls
JK: wK2                             :    482.800u      0.000s    289.434w   3628 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    907 calls
HF: Form F                          :      0.083u      0.000s      0.082w    907 calls
HF: Form D                          :      1.067u      0.000s      0.514w    907 calls
HF: DIIS                            :     23.700u      3.117s     15.869w    906 calls
DIISManager::add_entry              :      0.550u      0.433s      0.564w    857 calls
DIISManager::extrapolate            :      1.483u      2.500s      2.155w    857 calls
bMatrix setup                       :      0.567u      1.350s      1.048w    857 calls
bMatrix pseudoinverse               :      0.100u      0.067s      0.053w    857 calls
New vector                          :      0.817u      1.083s      1.049w    857 calls
HF: Form C                          :     41.633u      0.150s     25.252w    906 calls
Grad: V T Perturb                   :     20.267u      0.000s     12.196w     50 calls
Grad: S                             :      0.683u      0.000s      0.369w     50 calls
Grad: JK                            :   1454.750u      7.817s    877.698w     50 calls
JKGrad: Amn                         :    127.000u      1.517s     77.086w     50 calls
JKGrad: Awmn                        :    146.050u      1.433s     88.520w     50 calls
JKGrad: AB                          :     45.067u      0.917s     27.558w     50 calls
JKGrad: UV                          :     25.183u      0.717s     15.528w     50 calls
JKGrad: ABx                         :      4.850u      0.050s      2.977w     50 calls
JKGrad: Amnx                        :   1088.417u      2.667s    654.703w     50 calls
Grad: XC                            :    780.933u      0.500s    468.870w     50 calls
V_xc gradient                       :    459.750u      0.117s    275.538w  92030 calls

--------------------------------------------------------------------------------------
V: Grid                             :     11.750u      0.017s      7.068w     50 calls
JK: (A|mn)                          :    165.533u      0.000s     99.310w     50 calls
JK: (A|Q)^-1/2                      :     19.400u      0.000s     11.588w     50 calls
JK: (Q|mn)                          :    113.000u      0.017s     67.761w     50 calls
JK: (A|mn)^L                        :     80.750u      0.000s     48.400w     50 calls
JK: (A|Q)^-1                        :     19.317u      0.000s     11.607w     50 calls
JK: (Q|mn)^L                        :    112.183u      0.000s     67.287w     50 calls
JK: (A|mn)^R                        :     99.267u      0.000s     59.547w     50 calls
HF: Form core H                     :      0.033u      0.067s      0.226w     50 calls
HF: Form S/X                        :      1.117u      0.000s      0.704w     50 calls
HF: Guess                           :      0.233u      0.017s      0.151w     50 calls
| SAD Guess                         :      0.183u      0.017s      0.111w      1 calls
HF: Form G                          :  11428.033u      8.517s   6861.722w    907 calls
| UV: Form V                        :   8444.983u      8.300s   5072.000w    907 calls
| | Properties                      :   3785.400u      3.233s   2271.051w 1664345 calls
| | Functional                      :    276.167u      0.600s    166.262w 1664345 calls
| | V_xc                            :   4368.733u      4.383s   2627.266w 1664345 calls
| JK: D                             :      1.000u      0.000s      0.480w    907 calls
| JK: USO2AO                        :      0.367u      0.000s      0.121w    907 calls
| JK: JK                            :   2980.967u      0.217s   1788.756w    907 calls
| | JK: J                           :     22.983u      0.033s     13.714w    907 calls
| | | JK: J1                        :     11.583u      0.000s      6.820w   1814 calls
| | | JK: J2                        :     10.933u      0.033s      6.630w   1814 calls
| | JK: K                           :   1144.817u      0.033s    686.859w    907 calls
| | | JK: K1                        :    665.483u      0.033s    399.414w   1814 calls
| | | JK: K2                        :    479.250u      0.000s    287.414w   1814 calls
