
Host: b1-8.compute.lan

Timers On : Thu Feb  4 16:58:07 2021
Timers Off: Thu Feb  4 18:17:05 2021

Wall Time:     4738.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     12.117u      0.017s      7.257w     50 calls
JK: (A|mn)                          :    167.633u      0.000s    100.588w     50 calls
JK: (A|Q)^-1/2                      :     20.500u      0.000s     12.309w     50 calls
JK: (Q|mn)                          :    117.317u      0.017s     70.419w     50 calls
JK: (A|mn)^L                        :     88.000u      0.000s     52.787w     50 calls
JK: (A|Q)^-1                        :     20.550u      0.000s     12.363w     50 calls
JK: (Q|mn)^L                        :    116.250u      0.000s     69.769w     50 calls
JK: (A|mn)^R                        :    108.600u      0.000s     65.107w     50 calls
HF: Form core H                     :      0.083u      0.100s      0.251w     50 calls
HF: Form S/X                        :      1.167u      0.017s      0.746w     50 calls
HF: Guess                           :      0.367u      0.033s      0.205w     50 calls
SAD Guess                           :      0.217u      0.033s      0.163w      1 calls
HF: Form G                          :   4585.033u      3.617s   2753.274w    304 calls
UV: Form V                          :   3521.250u      3.350s   2114.885w    304 calls
Properties                          :   1967.700u      1.600s   1187.197w 633202 calls
Functional                          :    119.883u      0.083s     71.751w 633202 calls
V_xc                                :   1825.350u      1.983s   1092.694w 544105 calls
JK: D                               :      0.300u      0.000s      0.168w    304 calls
JK: USO2AO                          :      0.167u      0.000s      0.048w    304 calls
JK: JK                              :   1063.183u      0.267s    638.026w    304 calls
JK: J                               :      9.700u      0.000s      5.757w    304 calls
JK: J1                              :      5.167u      0.000s      2.871w    608 calls
JK: J2                              :      4.367u      0.000s      2.789w    608 calls
JK: K                               :    407.633u      0.033s    244.659w    304 calls
JK: K1                              :    246.333u      0.017s    147.989w    608 calls
JK: K2                              :    161.283u      0.017s     96.656w    608 calls
JK: wK                              :    643.417u      0.017s    386.057w    608 calls
JK: wK1                             :    480.700u      0.017s    288.477w   2432 calls
JK: wK2                             :    162.650u      0.000s     97.553w   1216 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    304 calls
HF: Form F                          :      0.050u      0.000s      0.035w    304 calls
HF: Form D                          :      0.383u      0.000s      0.184w    304 calls
HF: DIIS                            :      8.417u      0.683s      5.304w    303 calls
DIISManager::add_entry              :      0.167u      0.100s      0.248w    254 calls
